"MET","TIME","MEAN","SD"
"pyruvate","0.5","1.19","0.08"
"pyruvate","1","1.32","0.27"
"pyruvate","2","0.86","0.00"
"pyruvate","4","0.68","0.14"
"pyruvate","12","0.54","0.15"
"pyruvate","24","1.84","0.47"
"pyruvate","48","3.23","0.63"
"pyruvate","72","3.63","0.07"
"lactate","0.5","0.87","0.00"
"lactate","1","1.26","0.31"
"lactate","2","0.98","0.01"
"lactate","4","0.67","0.26"
"lactate","12","0.53","0.41"
"lactate","24","4.94","1.45"
"lactate","48","3.67","0.69"
"lactate","72","12.7"," 0.25"
"phosphorate","0.5","1.29","0.01"
"phosphorate","1","0.92","0.10"
"phosphorate","2","0.95","0.01"
"phosphorate","4","1.21","0.13"
"phosphorate","12","1.19","0.09"
"phosphorate","24","1.92","0.07"
"phosphorate","48","0.96","0.13"
"phosphorate","72","0.55","0.00"
"n-butylamine","0.5","1.09","0.15"
"n-butylamine","1","1.08","0.12"
"n-butylamine","2","1.07","0.02"
"n-butylamine","4","0.96","0.11"
"n-butylamine","12","0.95","0.19"
"n-butylamine","24","1.05",".04"
"n-butylamine","48","1.03","0.05"
"n-butylamine","72","1.07","0.16"
"ethanolamine","0.5","1.31","0.04"
"ethanolamine","1","1.45","0.31"
"ethanolamine","2","1.18","0.02"
"ethanolamine","4","1.22","0.14"
"ethanolamine","12","0.52","0.01"
"ethanolamine","24","0.59","0.03"
"ethanolamine","48","0.31","0.02"
"ethanolamine","72","0.26","0.02"
"glycerol","0.5","1.61","0.06"
"glycerol","1","0.72","0.24"
"glycerol","2","0.68","0.02"
"glycerol","4","1.91","0.04"
"glycerol","12","1.42","0.09"
"glycerol","24","3.30","0.21"
"glycerol","48","0.90","0.07"
"glycerol","72","1.40","0.04"
"succinate","0.5","0.75","0.01"
"succinate","1","1.08","0.12"
"succinate","2","0.80","0.02"
"succinate","4","0.55","0.04"
"succinate","12","0.39","0.05"
"succinate","24","0.21","0.00"
"succinate","48","0.87","0.07"
"succinate","72","1.62","0.01"
"glycerate","0.5","1.17","0.05"
"glycerate","1","0.82","0.12"
"glycerate","2","0.58","0.00"
"glycerate","4","0.97","0.07"
"glycerate","12","1.18","0.07"
"glycerate","24","1.60","0.17"
"glycerate","48","1.35","0.30"
"glycerate","72","0.70","0.04"
"fumarate","0.5","0.82","0.03"
"fumarate","1","0.92","0.10"
"fumarate","2","0.72","0.02"
"fumarate","4","0.70","0.02"
"fumarate","12","0.53","0.01"
"fumarate","24","0.23","0.06"
"fumarate","48","0.91","0.14"
"fumarate","72","2.30","0.05"
"cadaverine","0.5","1.06","0.04"
"cadaverine","1","1.00","0.05"
"cadaverine","2","1.07","0.04"
"cadaverine","4","0.89","0.03"
"cadaverine","12","0.92","0.08"
"cadaverine","24","0.91","0.06"
"cadaverine","48","1.08","0.04"
"cadaverine","72","0.96","0.01"
"malate","0.5","0.79","0.03"
"malate","1","1.11","0.15"
