MET,INDEX,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
aspartic acid,1,-0.0264,-0.0298,0.0774,-0.0825,0.152,0.104,0.015,-0.0648,-0.0196,-0.25,-0.275,-0.0464,-0.0157,-0.0613,-0.349,0.00718,-0.0855,-0.236,-0.044,-0.0354,0.167,-0.276,0.302,-0.114
asparagine,2,-0.0345,-0.0231,-0.106,0.0443,0.102,0.115,0.122,-0.268,0.0214,0.165,-0.095,0.024,0.00489,-0.235,0.12,0.202,0.132,0.179,0.264,0.319,-0.0433,0.21,0.24,0.0534
serine ,3,-0.00345,-0.00855,3.44e-4,9.1e-4,-0.0124,0.0597,0.0301,-0.0543,0.0168,-0.0505,-0.0748,-0.0101,-2.58e-4,-0.00252,-0.0242,-0.0547,0.0109,0.231,0.0563,0.294,-0.0659,-0.373,0.217,0.0907
glycine,4,0.00116,-0.0122,-0.0112,0.0512,0.0217,0.0175,0.038,-0.0533,0.00233,0.0911,-0.0118,0.0725,0.0109,0.0485,0.0375,0.0132,0.117,-0.114,0.0396,0.0221,-0.0783,-0.0634,-0.11,0.317
alanine,5,0.0399,0.043,-0.0468,0.0789,0.111,-0.00446,0.0977,-0.11,-0.231,-0.0167,-0.0293,-0.0103,-0.0602,-0.14,0.0975,-0.138,-0.126,0.126,-0.101,0.17,0.128,-0.104,0.11,-0.0884
glutamic acid,6,0.00411,0.0166,-0.0089,-0.0196,0.0418,0.0565,-0.015,0.006,-0.0315,-0.234,-0.116,-0.0403,-0.151,-0.191,-0.0755,-0.0918,-0.0458,-0.0172,0.0301,-0.0298,0.066,0.149,-0.264,0.0313
glutamine,7,-0.017,0.0221,-0.0151,-0.00223,-0.0716,0.0669,-0.0114,0.11,-0.0132,-0.236,0.00204,-0.152,-0.0444,0.178,-0.183,0.0616,0.227,-0.0475,0.235,0.108,-0.14,-0.117,0.178,0.129
threonine,8,-0.0264,0.0267,-0.0682,0.0802,0.0155,0.0082,0.0472,0.00927,0.0221,-0.103,-0.00277,-0.0341,-0.0167,-0.0537,-0.255,0.0356,0.0583,-0.129,-0.335,-0.129,-0.154,-0.0188,-0.0442,0.157
proline,9,-0.0165,0.0189,-0.0608,0.0509,-0.0132,-0.0251,-0.0235,0.0649,-0.0451,0.0402,0.168,-0.00893,0.034,0.0195,-0.0247,-0.0841,-0.0115,-0.00553,0.141,0.0453,-0.0533,-0.0495,-0.116,-0.211
valine,10,-0.034,-0.0418,-0.00825,-0.0279,-0.0144,0.0742,0.0183,-0.0248,0.0533,-0.134,-0.111,-0.0785,-0.0114,-0.0263,-0.0097,0.242,0.00503,-0.28,0.156,0.0461,-0.0999,0.282,-0.139,0.0236
tryptophan,11,-0.0922,-0.278,-0.173,-0.0841,-0.13,0.00236,-0.0111,0.0875,0.0942,0.189,0.243,-0.249,-0.205,-0.0216,-0.259,0.0431,-0.285,-0.0695,0.0283,0.0198,0.182,-0.163,-0.167,0.0477
isoleucine,12,-0.0594,-0.0337,-0.0583,0.0951,0.0345,0.101,0.0207,-0.0677,-0.0397,-0.0409,-0.0469,-0.0365,0.0256,-0.193,0.161,0.174,0.103,-0.304,0.0874,-0.354,0.0924,0.196,-0.0184,-0.253
leucine,13,-0.0566,-0.0732,0.0298,-0.0339,0.0553,0.0879,0.0527,-0.0352,0.104,0.103,-0.165,0.0411,-0.175,0.1,-0.326,-0.266,0.0808,0.215,-0.382,0.0556,0.0996,0.432,-0.00466,0.217
phenylalanine,14,-0.049,-0.227,-0.0703,-0.156,0.162,-0.0298,-0.0397,0.00978,-0.118,0.223,-0.155,-0.0401,-0.28,-0.041,-0.0196,0.0235,0.112,-0.0214,0.116,0.0978,-0.0888,0.282,0.144,-0.149
pyruvate,15,0.174,0.0143,-0.161,0.286,0.369,-0.59,0.306,0.0985,0.437,-0.0025,-0.164,-0.123,0.00905,-0.0718,-0.0528,-0.00454,0.00542,0.0144,0.0393,-0.0286,0.0152,-0.0315,0.00391,-0.0424
lactate,16,0.754,0.0958,-0.363,0.0477,0.0891,0.384,-0.256,0.122,0.115,0.0718,-8.25e-4,0.034,-0.0378,-0.0871,-0.0213,-0.0121,4.57e-4,0.0117,-0.0277,0.0239,-0.00646,-0.00838,-0.0126,-0.0328
phosphorate,17,-0.035,0.161,-0.124,-0.0256,0.00429,0.0131,0.0822,-0.0353,-0.0919,0.151,-0.0335,-0.0906,-0.0112,-0.043,-0.0243,0.327,0.0581,0.213,-0.302,-0.23,-0.3,-0.0333,0.0724,0.0948
n-butylamine,18,0.00101,-0.00865,-0.0391,0.0362,0.029,0.0386,-0.035,-0.0235,0.016,0.0246,0.176,0.104,0.153,0.178,-0.451,0.131,0.493,0.088,0.134,-0.218,0.0222,0.0322,0.0761,-0.134
ethanolamine,19,-0.0618,-0.131,-0.132,-0.233,0.321,0.0825,0.106,0.136,-0.159,0.0113,-0.081,-0.0879,0.129,0.243,0.00422,-0.21,0.0527,0.00601,0.0719,-0.0502,0.145,0.0152,-0.0475,-0.0485
glycerol,20,0.0029,0.334,-0.271,-0.393,0.105,-0.0387,0.158,-0.296,-0.211,0.0874,-0.334,-0.0248,0.0398,0.0773,0.0184,0.04,-0.0207,0.0151,0.0536,-0.206,0.0456,-0.215,-0.25,0.0569
succinate,21,0.0553,-0.143,0.0129,0.0528,0.126,-0.1,-0.052,0.0628,-0.259,0.086,0.087,-0.0395,-0.373,0.0175,0.102,0.176,-0.0457,0.147,-0.0723,-0.158,0.103,-0.00711,-0.0832,0.0261
glycerate,22,-0.0115,0.158,-0.0339,0.111,0.0662,-0.138,-0.0859,0.0597,-0.0216,0.0483,-0.0144,0.577,-0.0278,0.323,-0.017,0.406,-0.0765,-0.13,-0.0819,0.199,0.292,-0.0187,-0.0791,0.0663
fumarate,23,0.0986,-0.135,0.12,-0.0611,0.113,-0.15,0.0732,0.0867,-0.131,0.0922,0.0353,0.0269,-0.191,-0.0818,-0.0808,0.122,0.177,-0.145,0.0705,0.177,-0.272,-0.16,-0.181,-0.067
