"MET","0.5","1","2","4","12","24","48","72"
"pyruvate","1.19","1.32","0.86","0.68","0.54","1.84","3.23","3.63"
"lactate","0.87","1.26","0.98","0.67","0.53","4.94","3.67","12.7"
"phosphorate","1.29","0.92","0.95","1.21","1.19","1.92","0.96","0.55"
"n-butylamine","1.09","1.08","1.07","0.96","0.95","1.05","1.03","1.07"
"ethanolamine","1.31","1.45","1.18","1.22","0.52","0.59","0.31","0.26"
"glycerol","1.61","0.72","0.68","1.91","1.42","3.30","0.90","1.40"
"succinate","0.75","1.08","0.80","0.55","0.39","0.21","0.87","1.62"
"glycerate","1.17","0.82","0.58","0.97","1.18","1.60","1.35","0.70"
"fumarate","0.82","0.92","0.72","0.70","0.53","0.23","0.91","2.30"
"cadaverine","1.06","1.00","1.07","0.89","0.92","0.91","1.08","0.96"
"malate","0.79","1.11","0.87","0.73","0.62","1.17","0.82","2.27"
"4-aminobutyrate","0.87","1.26","1.21","0.87","0.77","1.01","0.92","1.70"
"cysteine","1.03","1.50","1.34","0.97","0.74","0.27","1.23","0.78"
"a-ketoglutarate","1.17","0.99","0.90","0.91","0.84","0.47","1.88","1.84"
"aconitate","1.50","0.91","1.00","1.71","0.95","0.70","0.37","0.82"
"putrescine","0.60","0.94","0.82","0.92","0.87","0.49","0.80","0.56"
"ribonate","1.01","1.00","0.92","0.87","0.83","0.78","0.84","0.81"
"shikimate","0.71","0.90","0.60","0.54","0.53","0.37","0.76","2.02"
"citrate","1.10","1.15","1.60","1.24","1.00","0.34","0.61","0.76"
"D-fructose","0.72","1.05","0.89","0.64","0.26","0.62","0.85","1.59"
"glucose","0.97","1.02","1.02","0.85","0.85","0.38","0.63","0.58"
"lysine","1.32","1.74","1.85","1.28","0.70","0.26","0.97","0.25"
"tyrosine","1.81","3.71","3.64","1.25","0.76","0.26","0.84","0.14"
"gluconate","0.95","1.08","1.00","0.85","0.70","0.36","0.51","0.48"
"galactonate","1.07","0.94","0.95","0.90","0.78","0.56","0.75","0.71"
"inositol","1.03","0.88","0.83","0.88","1.00","2.37","1.63","1.60"
"uric acid","0.76","1.52","2.50","0.74","0.52","0.78","1.76","1.46"
"sucrose","0.86","1.10","1.49","0.89","1.08","0.53","2.12","10.0"
"trehalose","1.11","0.96","0.88","0.75","0.90","0.73","0.87","1.42"
